Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
Difference between scaling horizontally and vertically for databases [closed];Scaling horizontally ===> Thousands of minions will do the work together for you.;Sankarganesh EswaranSankarganesh Eswaran;            8,66533 gold badges2020 silver badges2121 bronze badges;266
When to use CouchDB over MongoDB and vice versa;The answers above all over complicate the story.;;;248
"How do you query for ""is not null"" in Mongo?";One liner is the best :;;;125
When to Redis? When to MongoDB? [closed];I just noticed that this question is quite old. Nevertheless, I consider the following aspects to be worth adding:;;;
Explanation of JSONB introduced by PostgreSQL;Peeyush:;;;164
Add new field to every document in a MongoDB collection;Since MongoDB version 3.2 you can use updateMany():;;;27
Difference between CouchDB and Couchbase;"They are different yet similar pieces of software. I've remixed the content from the top answer into a picture that might help clarify the ""difference"" as well as the common things:";JeroenJeroen;            55.7k3434 gold badges184184 silver badges292292 bronze badges;59
NoSQL (MongoDB) vs Lucene (or Solr) as your database [closed];You can't partially update a document in solr. You have to re-post all of the fields in order to update a document.;Peter LongPeter Long;            3,88422 gold badges2020 silver badges1717 bronze badges;37
NoSQL Use Case Scenarios or WHEN to use NoSQL [closed];"I think Nosql is ""more suitable"" in these scenarios at least (more supplementary is welcome)";otmotm;            60799 silver badges2020 bronze badges;10
What is Hash and Range Primary Key?;A well-explained answer is already given by @mkobit, but I will add a big picture of the range key and hash key.;;;27
CAP theorem - Availability and Partition Tolerance;"Considering P in equal terms with C and A is a bit of a mistake, rather '2 out of 3' notion among C,A,P is misleading. The succinct way I would explain CAP theorem is, ""In a distributed data store, at the time of network partition you have to chose either Consistency or Availability and cannot get both"". Newer NoSQL systems are trying to focus on Availability while traditional ACID databases had a higher focus on Consistency.";;;67
Is there a query language for JSON?;I'd recommend my project I'm working on called jLinq.  I'm looking for feedback so I'd be interested in hearing what you think.;hugowarehugoware;            34.1k2424 gold badges5959 silver badges7070 bronze badges;50
What did MongoDB not being ACID compliant before v4 really mean?;One thing you lose with MongoDB is multi-collection (table) transactions.  Atomic modifiers in MongoDB can only work against a single document.;Bryan MigliorisiBryan Migliorisi;            8,56433 gold badges3131 silver badges4444 bronze badges;139
When NOT to use Cassandra? [closed];When evaluating distributed data systems, you have to consider the CAP theorem - you can pick two of the following: consistency, availability, and partition tolerance.;Nathan HurstNathan Hurst;            1,7401414 silver badges2222 bronze badges;57
How can I run MongoDB as a Windows service?;I think if you run it with the --install command line switch, it installs it as a Windows Service.;Stephen CurranStephen Curran;            7,38822 gold badges2929 silver badges2222 bronze badges;122
Amazon SimpleDB vs Amazon DynamoDB;SimpleDB does not seem to be getting any love from Amazon these days - its hard to even find where to provision it in the AWS Console. Seems like SimpleDB is no longer being iterated on - use DynamoDB as your first choice for a Document Database on AWS.;saillesaille;            8,64944 gold badges4343 silver badges5656 bronze badges;22
Explanation of BASE terminology;It has to do with BASE: the BASE jumper kind is always Basically Available (to new relationships), in a Soft state (none of his relationship last very long) and Eventually consistent (one day he will get married).;;;47
