Schema / Feature;NoSQL DB Type;Database;Data Modeling Pattern;Abstraction;Flexibility;Suitability;Consistency;Integration;User usability;Expressiveness;Completeness;Correctness;Complexity;Understandability;Implementability;Density;Balance;Aesthetics;Efficiency;Conciseness;Structure;Denormalization;Data Ingestion;Embedding;Nesting;Order;Hierarchy;Aggregation;Connectivity;Stability;Simplicity;label;
OReilly;Column-family;Cassandra;1;7;5;5;7;5;6;4;7;8;4;6;5;3;2;5;5;5;8;6;8;3;8;5;7;8;6;9;7;0;
videodb;Column-family;Cassandra;1;6;5;7;8;5;6;5;6;7;4;6;5;5;4;6;5;8;8;5;8;4;7;6;4;9;5;4;5;0;
beer;Document oriented;Couchbase;2;5;5;8;8;6;8;7;8;5;8;2;8;8;8;5;7;4;8;6;8;8;4;8;5;9;5;8;4;0;
games;Document oriented;Couchbase;2;8;1;9;4;7;1;9;1;5;1;9;3;7;5;3;8;8;8;2;1;7;3;9;9;5;2;8;3;1;
travel;Document oriented;Couchbase;2;8;8;9;5;7;5;9;2;1;2;8;7;7;9;5;8;7;4;4;7;8;4;9;8;9;7;8;9;0;
bpost Address Formatting Webservice;Document oriented;JSON;2;4;6;1;6;8;5;5;6;9;9;1;6;2;7;7;7;5;1;3;3;4;7;9;6;7;1;3;5;1;
bpost Address Validation Webservice;Document oriented;JSON;2;4;4;8;1;9;6;4;3;4;5;5;8;4;1;3;7;5;4;5;1;7;6;5;8;1;9;9;1;1;
Buzzfeed;Document oriented;MongoDB;2;3;8;8;8;1;5;8;8;2;6;4;1;4;6;4;2;6;8;4;3;7;7;8;2;9;2;4;4;1;
geoJSON;Document oriented;MongoDB;2;3;8;2;8;9;4;8;6;2;6;4;4;5;8;2;2;2;4;7;6;6;7;2;4;2;3;9;4;1;
geoSpatial;Document oriented;MongoDB;2;6;9;1;6;9;3;4;1;1;7;3;6;1;2;7;1;2;4;4;4;7;9;7;7;1;2;8;2;1;
Kansas City Fountains;Document oriented;MongoDB;2;8;9;6;1;9;1;3;9;7;7;3;6;5;5;4;3;9;4;2;5;3;5;8;8;8;2;6;4;1;
NOAA;Document oriented;MongoDB;2;8;2;8;3;2;4;3;5;6;5;5;4;9;9;8;9;6;8;1;8;4;7;6;1;9;7;4;4;0;
Northwind Oracle denormalized;Document oriented;MongoDB;2;5;4;4;4;2;8;4;1;5;3;7;4;9;6;9;3;9;8;4;5;8;1;5;9;2;5;1;3;1;
Northwind Oracle normalized;Document oriented;MongoDB;2;4;1;6;4;2;7;5;9;5;6;4;8;4;7;3;2;9;9;7;2;9;6;6;9;5;6;9;5;1;
ourAirports;Document oriented;MongoDB;2;5;2;3;5;6;2;4;2;5;5;5;9;1;5;5;8;4;4;4;5;5;1;4;5;9;1;4;3;1;
purchaseOrder;Document oriented;MongoDB;2;7;7;6;8;9;1;2;7;4;6;4;3;9;6;5;3;1;6;8;1;3;4;9;9;6;7;5;9;0;
sales v0.2;Document oriented;MongoDB;2;9;7;6;8;1;7;4;1;9;7;3;1;8;3;9;2;4;8;9;5;8;6;6;9;5;5;5;3;0;
